,id,make,model,year,trim,mileage,price,monthly_payment,status,link
117,2616720,Alfa,Romeo,2017,base,"36,035 miles","$24,990",$476/mo,None,www.carvana.com/vehicle/2616720
118,2579383,Alfa,Romeo,2017,Ti,"76,934 miles","$23,590",$485/mo,None,www.carvana.com/vehicle/2579383
119,2615581,Saab,9-3,2011,Turbo4 Sport,"50,436 miles","$14,990",$326/mo,None,www.carvana.com/vehicle/2615581
120,2624748,Alfa,Romeo,2018,base,"38,000 miles","$27,590",$516/mo,None,www.carvana.com/vehicle/2624748
121,2623529,Alfa,Romeo,2017,base,"66,863 miles","$22,990",$447/mo,None,www.carvana.com/vehicle/2623529
122,2549492,Alfa,Romeo,2018,base,"58,882 miles","$27,990",$554/mo,None,www.carvana.com/vehicle/2549492
123,2617158,Alfa,Romeo,2019,Ti,"57,577 miles","$26,990",$521/mo,None,www.carvana.com/vehicle/2617158
124,2617073,Alfa,Romeo,2018,Ti Sport,"29,038 miles","$31,990",$611/mo,None,www.carvana.com/vehicle/2617073
125,2579626,Alfa,Romeo,2019,Ti Lusso,"29,722 miles","$32,990",$624/mo,None,www.carvana.com/vehicle/2579626
126,2618370,Alfa,Romeo,2017,Quadrifoglio,"44,675 miles","$42,990",$769/mo,None,www.carvana.com/vehicle/2618370
127,2592029,Alfa,Romeo,2019,Ti,"27,177 miles","$30,990",$593/mo,None,www.carvana.com/vehicle/2592029
128,2618189,Alfa,Romeo,2022,Ti,"6,439 miles","$42,990",$765/mo,None,www.carvana.com/vehicle/2618189
129,2590564,Alfa,Romeo,2018,Ti Sport,"33,530 miles","$29,990",$575/mo,None,www.carvana.com/vehicle/2590564
130,2458203,Alfa,Romeo,2017,Ti,"37,128 miles","$29,990",$585/mo,None,www.carvana.com/vehicle/2458203
131,2586855,Alfa,Romeo,2018,Sport,"32,111 miles","$29,990",$578/mo,None,www.carvana.com/vehicle/2586855
132,2626766,Alfa,Romeo,2018,Ti Sport,"34,281 miles","$31,590",$604/mo,None,www.carvana.com/vehicle/2626766
133,2626095,Alfa,Romeo,2019,Sport,"46,840 miles","$27,990",$527/mo,None,www.carvana.com/vehicle/2626095
134,2599411,Alfa,Romeo,2017,Ti,"29,910 miles","$26,990",$519/mo,None,www.carvana.com/vehicle/2599411
135,2629088,Alfa,Romeo,2017,Ti,"15,923 miles","$29,990",$581/mo,None,www.carvana.com/vehicle/2629088
136,2628462,Alfa,Romeo,2018,base,"39,944 miles","$26,990",$527/mo,None,www.carvana.com/vehicle/2628462
137,2568016,Alfa,Romeo,2017,Ti,"46,316 miles","$26,990",$523/mo,None,www.carvana.com/vehicle/2568016
138,2628316,Alfa,Romeo,2017,base,"25,454 miles","$25,990",$500/mo,None,www.carvana.com/vehicle/2628316
139,2423282,Alfa,Romeo,2018,Ti Sport,"31,845 miles","$33,990",$652/mo,None,www.carvana.com/vehicle/2423282
140,2591539,Alfa,Romeo,2018,Ti Sport,"32,703 miles","$29,990",$582/mo,None,www.carvana.com/vehicle/2591539
141,2567358,Alfa,Romeo,2017,Ti,"34,031 miles","$27,990",$545/mo,None,www.carvana.com/vehicle/2567358
142,2614491,Alfa,Romeo,2019,Ti,"9,581 miles","$30,990",$577/mo,Purchase in Progress,www.carvana.com/vehicle/2614491
143,2620850,Alfa,Romeo,2018,Ti Sport,"32,439 miles","$28,990",$541/mo,Purchase in Progress,www.carvana.com/vehicle/2620850
144,2584313,Alfa,Romeo,2019,Ti,"20,928 miles","$30,590",$570/mo,Purchase in Progress,www.carvana.com/vehicle/2584313
145,2577489,Alfa,Romeo,2019,Quadrifoglio,"18,537 miles","$58,590",$1021/mo,Purchase in Progress,www.carvana.com/vehicle/2577489
146,2531279,Alfa,Romeo,2019,Sport,"12,260 miles","$29,990",$567/mo,Purchase in Progress,www.carvana.com/vehicle/2531279
147,2572553,Alfa,Romeo,2018,Ti Sport,"40,165 miles","$30,990",$588/mo,Purchase in Progress,www.carvana.com/vehicle/2572553
148,2621640,Alfa,Romeo,2019,base,"30,016 miles","$30,990",$578/mo,Purchase in Progress,www.carvana.com/vehicle/2621640
149,2479548,Alfa,Romeo,2019,Ti,"18,515 miles","$30,590",$585/mo,Purchase in Progress,www.carvana.com/vehicle/2479548
150,2622266,Alfa,Romeo,2017,Ti,"52,551 miles","$26,590",$531/mo,Purchase in Progress,www.carvana.com/vehicle/2622266
151,2591063,Alfa,Romeo,2019,Ti Sport,"29,564 miles","$33,990",$652/mo,Purchase in Progress,www.carvana.com/vehicle/2591063
152,2620266,Alfa,Romeo,2018,Ti Sport,"49,962 miles","$28,990",$546/mo,Purchase in Progress,www.carvana.com/vehicle/2620266
153,2623182,Alfa,Romeo,2019,Ti,"34,328 miles","$28,990",$556/mo,Purchase in Progress,www.carvana.com/vehicle/2623182
154,1859579,Alfa,Romeo,2018,Ti Sport,"47,820 miles","$34,590",$680/mo,Purchase in Progress,www.carvana.com/vehicle/1859579
155,2555585,Alfa,Romeo,2017,base,"31,040 miles","$25,590",$493/mo,Purchase in Progress,www.carvana.com/vehicle/2555585
156,2596689,Alfa,Romeo,2018,Ti Sport,"30,005 miles","$30,990",$597/mo,Purchase in Progress,www.carvana.com/vehicle/2596689
157,2615480,Alfa,Romeo,2019,Ti Sport,"58,122 miles","$27,990",$543/mo,Purchase in Progress,www.carvana.com/vehicle/2615480
158,2570355,Alfa,Romeo,2018,Ti Sport,"15,411 miles","$32,990",$632/mo,Purchase in Progress,www.carvana.com/vehicle/2570355
159,2615804,Alfa,Romeo,2017,Ti,"30,494 miles","$26,990",$504/mo,Purchase in Progress,www.carvana.com/vehicle/2615804
160,2616449,Alfa,Romeo,2018,Ti Sport,"34,693 miles","$29,990",$578/mo,Purchase in Progress,www.carvana.com/vehicle/2616449
161,2590082,Saab,9-3,2010,2.0T,"76,368 miles","$15,990",$347/mo,Purchase in Progress,www.carvana.com/vehicle/2590082
162,2531231,Alfa,Romeo,2017,Ti,"36,762 miles","$28,590",$556/mo,Purchase in Progress,www.carvana.com/vehicle/2531231
163,2625661,Alfa,Romeo,2019,Ti,"6,797 miles","$36,590",$698/mo,Purchase in Progress,www.carvana.com/vehicle/2625661
164,2624530,Alfa,Romeo,2019,Sport,"11,961 miles","$34,590",$666/mo,Purchase in Progress,www.carvana.com/vehicle/2624530
165,2627320,Alfa,Romeo,2016,base,"11,740 miles","$57,990",$1009/mo,Purchase in Progress,www.carvana.com/vehicle/2627320
166,2598748,Alfa,Romeo,2020,Sport,"23,523 miles","$30,590",$585/mo,Purchase in Progress,www.carvana.com/vehicle/2598748
167,2446231,Alfa,Romeo,2019,Ti Sport,"15,091 miles","$32,590",$616/mo,Purchase in Progress,www.carvana.com/vehicle/2446231
168,2545869,Alfa,Romeo,2018,Sport,"17,600 miles","$31,590",$603/mo,Purchase in Progress,www.carvana.com/vehicle/2545869
169,2495819,Alfa,Romeo,2017,base,"26,395 miles","$26,590",$511/mo,Purchase in Progress,www.carvana.com/vehicle/2495819
170,2581861,Alfa,Romeo,2019,Ti Lusso,"30,229 miles","$33,990",$652/mo,Purchase in Progress,www.carvana.com/vehicle/2581861
171,2578213,Alfa,Romeo,2019,Sport,"42,544 miles","$30,590",$600/mo,Purchase in Progress,www.carvana.com/vehicle/2578213
172,2594266,Alfa,Romeo,2019,Ti,"22,675 miles","$31,990",$624/mo,Purchase in Progress,www.carvana.com/vehicle/2594266
173,2455127,Alfa,Romeo,2017,Ti,"10,491 miles","$29,990",$586/mo,Purchase in Progress,www.carvana.com/vehicle/2455127
174,2554122,Alfa,Romeo,2019,Sport,"21,969 miles","$30,990",$592/mo,Purchase in Progress,www.carvana.com/vehicle/2554122
175,2590638,Alfa,Romeo,2019,base,"19,216 miles","$31,990",$596/mo,Purchase in Progress,www.carvana.com/vehicle/2590638
176,2616222,Alfa,Romeo,2017,Quadrifoglio,"42,127 miles","$43,590",$776/mo,Purchase in Progress,www.carvana.com/vehicle/2616222
177,2461517,Alfa,Romeo,2019,base,"20,330 miles","$27,990",$536/mo,Purchase in Progress,www.carvana.com/vehicle/2461517
178,2440726,Alfa,Romeo,2021,Ti Sport,"10,065 miles","$44,990",$802/mo,Purchase in Progress,www.carvana.com/vehicle/2440726
179,2621113,Alfa,Romeo,2017,base,"67,213 miles","$22,990",$463/mo,Purchase in Progress,www.carvana.com/vehicle/2621113
180,2188232,Alfa,Romeo,2018,base,"22,287 miles","$28,590",$551/mo,Purchase in Progress,www.carvana.com/vehicle/2188232
181,2592247,Alfa,Romeo,2017,base,"22,804 miles","$27,990",$540/mo,Purchase in Progress,www.carvana.com/vehicle/2592247
182,2608563,Alfa,Romeo,2020,Ti Sport,"5,368 miles","$35,990",$683/mo,Purchase in Progress,www.carvana.com/vehicle/2608563
183,2579057,Alfa,Romeo,2019,base,"23,438 miles","$28,590",$552/mo,Purchase in Progress,www.carvana.com/vehicle/2579057
184,2579276,Alfa,Romeo,2016,base,"17,556 miles","$56,990",$991/mo,Purchase in Progress,www.carvana.com/vehicle/2579276
185,2601075,Alfa,Romeo,2018,Sport,"37,332 miles","$27,990",$541/mo,Purchase in Progress,www.carvana.com/vehicle/2601075
186,2530463,Alfa,Romeo,2017,base,"38,650 miles","$25,990",$486/mo,Purchase in Progress,www.carvana.com/vehicle/2530463
187,2510523,Alfa,Romeo,2018,Quadrifoglio,"16,995 miles","$54,990",$936/mo,Purchase in Progress,www.carvana.com/vehicle/2510523
188,2610466,Alfa,Romeo,2019,Ti Lusso,"18,693 miles","$35,590",$681/mo,Purchase in Progress,www.carvana.com/vehicle/2610466
189,2616674,Alfa,Romeo,2018,Ti Sport,"43,537 miles","$27,990",$538/mo,Purchase in Progress,www.carvana.com/vehicle/2616674
190,2585035,Alfa,Romeo,2018,Ti,"37,140 miles","$28,990",$560/mo,Purchase in Progress,www.carvana.com/vehicle/2585035
191,2114321,Alfa,Romeo,2017,Ti,"50,258 miles","$28,990",$567/mo,Purchase in Progress,www.carvana.com/vehicle/2114321
192,2388047,Alfa,Romeo,2017,Ti,"63,716 miles","$25,590",$509/mo,Purchase in Progress,www.carvana.com/vehicle/2388047
