,make,model,year,trim,mileage,price,monthly_payment,status,link
170,Kia,Rio,2015,LX,"82,430 miles","$13,590",['$294/mo'],None,www.carvana.com/vehicle/2356048
171,Dodge,Grand,2019,GT,"70,520 miles","$22,590",['$442/mo'],None,www.carvana.com/vehicle/2370195
172,Dodge,Journey,2018,SE,"80,657 miles","$18,990",['$382/mo'],None,www.carvana.com/vehicle/2275586
173,Dodge,Challenger,2018,GT,"46,572 miles","$29,990",['$587/mo'],None,www.carvana.com/vehicle/2341300
174,Kia,Sorento,2022,S,"9,133 miles","$42,590",['$767/mo'],None,www.carvana.com/vehicle/2421989
175,Dodge,Challenger,2018,SXT,"53,491 miles","$26,590",['$520/mo'],None,www.carvana.com/vehicle/2414533
176,Dodge,Charger,2021,GT,"18,818 miles","$36,590",['$697/mo'],None,www.carvana.com/vehicle/2292352
177,Dodge,Journey,2017,SXT,"75,074 miles","$17,990",['$351/mo'],['Free Shipping'],www.carvana.com/vehicle/2400533
178,Dodge,Challenger,2015,SRT 392,"11,706 miles","$42,990",['$780/mo'],None,www.carvana.com/vehicle/2239674
179,Kia,Sorento,2022,X-Line S,"8,643 miles","$46,590",['$830/mo'],None,www.carvana.com/vehicle/2399313
180,Dodge,Challenger,2019,GT,"20,169 miles","$31,590",['$621/mo'],None,www.carvana.com/vehicle/2273463
181,Kia,Sorento,2017,L,"49,891 miles","$21,990",['$434/mo'],None,www.carvana.com/vehicle/2383113
182,Kia,Optima,2016,EX,"89,692 miles","$19,590",['$409/mo'],None,www.carvana.com/vehicle/2418413
183,Dodge,Durango,2014,SXT,"55,646 miles","$23,990",['$472/mo'],None,www.carvana.com/vehicle/2430877
184,Kia,Forte,2014,EX,"48,161 miles","$16,990",['$345/mo'],None,www.carvana.com/vehicle/2423479
185,Kia,Soul,2017,base,"65,296 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2400380
186,Kia,Optima,2018,LX,"36,941 miles","$21,590",['$425/mo'],None,www.carvana.com/vehicle/2400313
187,Kia,Cadenza,2014,Premium,"78,502 miles","$17,990",['$365/mo'],None,www.carvana.com/vehicle/2400281
188,Kia,Sorento,2014,LX,"103,280 miles","$16,990",['$359/mo'],None,www.carvana.com/vehicle/2395719
189,Kia,Forte,2020,LXS,"31,049 miles","$22,590",['$444/mo'],None,www.carvana.com/vehicle/2408111
190,Kia,Forte,2021,LXS,"12,401 miles","$23,990",['$469/mo'],None,www.carvana.com/vehicle/2410043
191,Kia,Optima,2016,LX Turbo,"98,325 miles","$16,590",['$351/mo'],None,www.carvana.com/vehicle/2410017
192,Kia,Rio,2014,LX,"29,217 miles","$15,990",['$338/mo'],None,www.carvana.com/vehicle/2449592
193,Kia,Telluride,2021,S,"19,455 miles","$44,990",['$791/mo'],['Free Shipping'],www.carvana.com/vehicle/2397537
194,Kia,Sorento,2019,LX,"57,860 miles","$25,990",['$491/mo'],['Free Shipping'],www.carvana.com/vehicle/2407289
195,Dodge,Dart,2016,SXT,"82,557 miles","$14,990",['$332/mo'],None,www.carvana.com/vehicle/2423734
196,Kia,Forte5,2017,LX,"59,141 miles","$16,590",['$333/mo'],None,www.carvana.com/vehicle/2418416
197,Dodge,Avenger,2014,SE,"73,871 miles","$14,590",['$304/mo'],None,www.carvana.com/vehicle/2418409
198,Kia,Soul,2022,LX,"7,425 miles","$25,590",['$498/mo'],None,www.carvana.com/vehicle/2406169
199,Kia,K5,2022,GT-Line,"2,732 miles","$36,990",['$714/mo'],None,www.carvana.com/vehicle/2410970
200,Kia,K5,2021,GT-Line,"13,306 miles","$33,990",['$659/mo'],None,www.carvana.com/vehicle/2400398
201,Dodge,Journey,2016,Crossroad Plus,"72,704 miles","$18,990",['$365/mo'],None,www.carvana.com/vehicle/2482197
202,Dodge,Challenger,2014,SXT,"62,615 miles","$21,990",['$416/mo'],None,www.carvana.com/vehicle/2482332
203,Kia,Optima,2016,LX,"64,612 miles","$17,990",['$341/mo'],None,www.carvana.com/vehicle/2448289
204,Kia,Optima,2012,SX,"79,000 miles","$17,590",['$339/mo'],None,www.carvana.com/vehicle/2455192
205,Dodge,Dart,2016,SE,"54,989 miles","$15,990",['$307/mo'],None,www.carvana.com/vehicle/2444971
206,Dodge,Journey,2019,SE,"34,021 miles","$23,990",['$452/mo'],None,www.carvana.com/vehicle/2451429
207,Dodge,Grand,2018,SE,"93,255 miles","$17,990",['$354/mo'],None,www.carvana.com/vehicle/2481023
208,Dodge,Journey,2018,SE,"43,861 miles","$21,990",['$415/mo'],None,www.carvana.com/vehicle/2392210
209,Kia,Sorento,2019,L,"49,050 miles","$24,990",['$471/mo'],None,www.carvana.com/vehicle/2450402
210,Dodge,Journey,2017,Crossroad,"40,004 miles","$21,990",['$420/mo'],None,www.carvana.com/vehicle/2486744
211,Dodge,Challenger,2018,SXT,"80,786 miles","$24,990",['$489/mo'],None,www.carvana.com/vehicle/2384321
212,Dodge,Dart,2015,SXT,"85,737 miles","$14,990",['$303/mo'],None,www.carvana.com/vehicle/2486893
213,Dodge,Challenger,2016,SXT,"87,875 miles","$22,990",['$451/mo'],None,www.carvana.com/vehicle/2411373
214,Dodge,Journey,2018,SXT,"50,325 miles","$20,990",['$396/mo'],None,www.carvana.com/vehicle/2486987
215,Kia,Soul,2014,+,"95,149 miles","$14,590",['$295/mo'],None,www.carvana.com/vehicle/2417907
216,Kia,Forte,2017,S,"58,595 miles","$17,990",['$341/mo'],None,www.carvana.com/vehicle/2476576
217,Kia,Sorento,2018,LX,"68,997 miles","$22,990",['$435/mo'],None,www.carvana.com/vehicle/2457164
218,Kia,Forte,2015,LX,"72,233 miles","$14,990",['$289/mo'],None,www.carvana.com/vehicle/2449980
219,Dodge,Charger,2014,SE,"60,900 miles","$18,990",['$364/mo'],None,www.carvana.com/vehicle/2483174
220,Kia,Sorento,2018,LX,"69,808 miles","$22,990",['$435/mo'],None,www.carvana.com/vehicle/2490591
221,Dodge,Journey,2018,Crossroad,"62,920 miles","$21,590",['$408/mo'],None,www.carvana.com/vehicle/2463858
222,Kia,Soul,2017,+,"70,365 miles","$16,990",['$322/mo'],None,www.carvana.com/vehicle/2483216
223,Dodge,Journey,2018,Crossroad,"67,684 miles","$22,590",['$433/mo'],None,www.carvana.com/vehicle/2397770
224,Dodge,Charger,2013,R/T Plus,"72,538 miles","$20,990",['$403/mo'],None,www.carvana.com/vehicle/2464065
225,Dodge,Grand,2014,SXT,"97,244 miles","$15,590",['$324/mo'],None,www.carvana.com/vehicle/2489931
226,Kia,Sportage,2017,LX,"72,000 miles","$18,990",['$360/mo'],None,www.carvana.com/vehicle/2455997
227,Dodge,Dart,2016,SXT,"55,695 miles","$16,590",['$323/mo'],None,www.carvana.com/vehicle/2482903
228,Kia,Sportage,2020,LX,"48,174 miles","$23,990",['$453/mo'],None,www.carvana.com/vehicle/2482901
229,Dodge,Dart,2015,SXT,"83,960 miles","$14,990",['$303/mo'],None,www.carvana.com/vehicle/2420926
230,Dodge,Nitro,2011,Heat,"78,417 miles","$13,990",['$305/mo'],None,www.carvana.com/vehicle/2463524
231,Kia,Niro,2019,FE,"83,000 miles","$21,990",['$437/mo'],None,www.carvana.com/vehicle/2489506
232,Dodge,Journey,2018,SE,"54,517 miles","$20,990",['$397/mo'],None,www.carvana.com/vehicle/2488754
233,Kia,K900,2015,Premium,"70,883 miles","$23,990",['$454/mo'],None,www.carvana.com/vehicle/2325864
234,Dodge,Journey,2018,Crossroad,"66,673 miles","$22,990",['$441/mo'],None,www.carvana.com/vehicle/2462166
235,Dodge,Durango,2015,SXT,"71,046 miles","$23,590",['$446/mo'],None,www.carvana.com/vehicle/2492353
236,Kia,Sedona,2016,L,"97,963 miles","$16,990",['$343/mo'],None,www.carvana.com/vehicle/2485251
237,Dodge,Grand,2015,SE,"37,576 miles","$20,990",['$401/mo'],None,www.carvana.com/vehicle/2485329
238,Dodge,Grand,2012,SE,"99,383 miles","$14,590",['$303/mo'],None,www.carvana.com/vehicle/2365776
